CÓDIGO SIGEP,NOMBRE DE LA ENTIDAD,NIT,ORDEN,SUBORDEN,CLASIFICACIÓN ORGÁNICA,SECTOR,NIVEL,TIPO DE VINCULACIÓN,NATURALEZA JURÍDICA,LONGITUD,LATITUD,AÑO,FUENTE,CANTIDAD DE HOMBRES EN CARGOS DE MÁXIMO NIVEL DECISORIO,CANTIDAD DE MUJERES EN CARGOS DE MÁXIMO NIVEL DECISORIO,CANTIDAD DE HOMBRES EN CARGOS EN CARGOS DE OTROS NIVELES DECISORIOS,CANTIDAD DE MUJERES EN CARGOS EN CARGOS DE OTROS NIVELES DECISORIOS,CANTIDAD DE CARGOS PROVISTOS MÁXIMO NIVEL DECISORIO,CANTIDAD DE CARGOS PROVISTOS OTRO NIVEL DECISORIO,CODIGO DEPARTAMENTO,DEPARTAMENTO,CÓDIGO MUNICIPIO,MUNICIPIO
8195,REGION ADMINISTRATIVA Y DE PLANEACION ESPECIAL,900788066,TERRITORIAL,ORGANIZACIÓN TERRITORIAL,RAMA EJECUTIVA,NO APLICA,DESCENTRALIZADO,ADSCRITAS,REGIÓN ADMINISTRATIVA Y DE PLANIFICACIÓN ESPECIAL  RAPE,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",2,1,0,0,3,0,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
8195,REGION ADMINISTRATIVA Y DE PLANEACION ESPECIAL,900788066,TERRITORIAL,ORGANIZACIÓN TERRITORIAL,RAMA EJECUTIVA,NO APLICA,DESCENTRALIZADO,ADSCRITAS,REGIÓN ADMINISTRATIVA Y DE PLANIFICACIÓN ESPECIAL  RAPE,-74.181072702,4.316107698,2021,"Fuente: Función Pública, Informe Ley de Cuotas, 2021",1,0,1,1,1,2,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
8195,REGION ADMINISTRATIVA Y DE PLANEACION ESPECIAL,900788066,TERRITORIAL,ORGANIZACIÓN TERRITORIAL,RAMA EJECUTIVA,NO APLICA,DESCENTRALIZADO,ADSCRITAS,REGIÓN ADMINISTRATIVA Y DE PLANIFICACIÓN ESPECIAL  RAPE,-74.181072702,4.316107698,2018,"Fuente: Función Pública, Informe Ley de Cuotas, 2018",2,1,0,,3,,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
8195,REGION ADMINISTRATIVA Y DE PLANEACION ESPECIAL,900788066,TERRITORIAL,ORGANIZACIÓN TERRITORIAL,RAMA EJECUTIVA,NO APLICA,DESCENTRALIZADO,ADSCRITAS,REGIÓN ADMINISTRATIVA Y DE PLANIFICACIÓN ESPECIAL  RAPE,-74.181072702,4.316107698,2020,"Fuente: Función Pública, Informe Ley de Cuotas, 2020",1,0,1,1,1,2,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
269,CORPORACION AUTONOMA REGIONAL DE RISARALDA,891410354,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,AMBIENTE Y DESARROLLO SOSTENIBLE,NO APLICA,NO APLICA,ORGANOS AUTÓNOMOS,-75.795790934,4.803662773,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",5,3,0,0,8,0,66,RISARALDA,66001,PEREIRA
347,SERVICIO NACIONAL DE APRENDIZAJE,899999034,NACIONAL,NO APLICA,RAMA EJECUTIVA,TRABAJO,DESCENTRALIZADO,NO APLICA,ESTABLECIMIENTO PÚBLICO,-74.181072702,4.316107698,2018,"Fuente: Función Pública, Informe Ley de Cuotas, 2018",8,1,109,33,9,142,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5253,CORPORACION NACIONAL PARA LA RECONSTRUCCION DE LA CUENCA DEL RIO PAEZ Y ZONAS ALEDAÑAS,800237214,NACIONAL,NO APLICA,RAMA EJECUTIVA,INTERIOR,DESCENTRALIZADO,ADSCRITAS,ESTABLECIMIENTO PÚBLICO,-76.591944191,2.471704362,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",1,0,0,1,1,1,19,CAUCA,19001,POPAYÁN
8110,DIRECCION NACIONAL DE BOMBEROS,900639630,NACIONAL,NO APLICA,RAMA EJECUTIVA,INTERIOR,DESCENTRALIZADO,ADSCRITAS,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,-74.181072702,4.316107698,2018,"Fuente: Función Pública, Informe Ley de Cuotas, 2018",3,1,0,,4,,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
281,FONDO NACIONAL DE AHORRO,899999284,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,VINCULADAS,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,-74.181072702,4.316107698,2022,"Fuente: Función Pública, Informe Ley de Cuotas, 2022",0,0,2,3,0,5,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
5324,FONDO DE GARANTIAS DE INSTITUCIONES FINANCIERAS,860530751,NACIONAL,NO APLICA,RAMA EJECUTIVA,HACIENDA Y CRÉDITO PÚBLICO,DESCENTRALIZADO,VINCULADAS,ESPECIAL,-74.181072702,4.316107698,2019,"Fuente: Función Pública, Informe Ley de Cuotas, 2019",0,0,1,0,0,1,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C."
